"Compartment","Code","Count"
"Cytosol","c",49
"Mitochondria","m",33
"Extracellular","e",0
"Peroxisome","p",3
"Lysosome","l",0
"Endoplasmic reticulum","r",6
"Golgi","g",0
"Nucleus","n",0
"Intermediate","i",0
