"Compartment","Code","Count"
"Cytosol","c",64
"Mitochondria","m",42
"Extracellular","e",0
"Peroxisome","p",4
"Lysosome","l",0
"Endoplasmic reticulum","r",6
"Golgi","g",0
"Nucleus","n",1
"Intermediate","i",0
