"Category","Count"
"NAD_All_Increased_FBA_only",4
"NAD_All_Increased_pFBA_only",0
"NAD_All_Increased_Sampling_only",37
"NAD_All_Increased_FBA_pFBA",0
"NAD_All_Increased_FBA_Sampling",4
"NAD_All_Increased_pFBA_Sampling",1
"NAD_All_Increased_All_three",3
"NAD_All_Decreased_FBA_only",3
"NAD_All_Decreased_pFBA_only",2
"NAD_All_Decreased_Sampling_only",20
"NAD_All_Decreased_FBA_pFBA",0
"NAD_All_Decreased_FBA_Sampling",1
"NAD_All_Decreased_pFBA_Sampling",2
"NAD_All_Decreased_All_three",23
