Model,Total_FBA,Total_pFBA,NAD_FBA,NAD_pFBA,NAD_Reduction_Percent,NAD_Percent_of_Total_FBA,NAD_Percent_of_Total_pFBA,Cycling_Reactions
NSD,194585.3,33403.4,10964.7,4178.6,61.9,5.6,12.5,12
HSD,201019.8,19614.4,11845.7,2281.8,80.7,5.9,11.6,15
