"Subsystem","Reactions","Key_Genes"
"Transport reactions",7,"gb, mnd, CG5592, CG6231, hrm"
"Phenylalanine, tyrosine and tr
yptophan biosynthesis",4,"Got1, Got2"
"Tricarboxylic acid cycle and g
lyoxylate/dicarboxylate metabo
lism",3,"kdn, Mdh2, Scsα1, ScsβA"
