"Category","Count"
"Increased_FBA_only",97
"Increased_pFBA_only",15
"Increased_Sampling_only",294
"Increased_FBA_pFBA",7
"Increased_FBA_Sampling",48
"Increased_pFBA_Sampling",14
"Increased_All_three",21
"Decreased_FBA_only",66
"Decreased_pFBA_only",25
"Decreased_Sampling_only",287
"Decreased_FBA_pFBA",10
"Decreased_FBA_Sampling",52
"Decreased_pFBA_Sampling",35
"Decreased_All_three",98
