KEGG_ID
R01903
R01481
R02640
R01905
R01526
R01016
R00931
R00744
R01244
R00974
R00185
R00963
R00513
R01131
R00401
R03758
R00751
R00447
R04175
R02201
R04293
R03445
R03674
R03954
R08766
R08767
R02962
R03672
R08848
R02539
R02576
R02408
R01914
R04940
R02328
R10183
R06514
R02777
R04861
R01393
R00465
R08572
R07057
R07037
R04552
R05207
R05055
R00521
R09847
R02209
R03437
R08107
R03521
R03878
R05060
R02683
R02801
R02800
R05058
R07067
R08723
R05974
R03347
R10748
R03330
R06875
R07299
R03363
R04545
R04404
R05795
R03361
R03469
R05803
R03362
R09093
R09395
R02933
R01108
R04785
R04784
R04515
R03166
R03684
R08392
R02369
R00615
R02135
R00097
R03311
R03610
R07086
R07017
R07016
R07009
R07018
R07019
R07011
R07020
R07010
R07012
R09411
R07102
R07103
R07101
R07123
R07073
R07076
R07077
R07078
R07074
R09429
R09424
R09425
R09430
R09431
R09435
R09438
R09433
R09437
R09434
R09439
R09436
R09440
R09432
R07028
R07029
R07030
R07095
R07097
R07124
R07096
R07113
R07117
R07120
R00004
R00138
R06411
R00086
R00124
R02739
R02207
R08958
R03325
R08132
R08134
R08135
R08136
R08138
R08143
R02126
